한자,병음,성조 (단음절),한글 의미,품사
可惜,kěxī,-,"섭섭하다, 아쉽다, 애석하다","형용사, 부사"
可以,kěyǐ,-,~할 수 있다,"조동사, 형용사"
刻,kè,4성,"15분, 새기다","양사, 동사"
课,kè,4성,"수업, 과","명사, 양사"
客气,kèqi,-,"겸손하다, 예의 바르다",형용사
客人,kèrén,-,손님,명사
空,kōng / kòng,1성 / 4성,"헛되이, 비다 / 틈, 짬, (시간을) 내다, 비우다","부사, 형용사 / 명사, 동사"
空气,kōngqì,-,"공기, 분위기",명사
口,kǒu,3성,"입, 단위(식구)","명사, 양사"
哭,kū,1성,울다,동사
苦,kǔ,3성,쓰다,"형용사, 명사"
裤子,kùzi,-,바지,명사
块,kuài,4성,"조각, 단위(화폐, 덩어리 등)","명사, 양사"
快,kuài,4성,"빠르다, 곧, 빨리","형용사, 부사"
快乐,kuàilè,-,즐겁다,형용사
筷子,kuàizi,-,젓가락,명사
矿泉水,kuàngquánshuǐ,-,"광천수, 생수",명사
困难,kùnnan,-,"곤란, 어렵다","명사, 형용사"
了,le / liǎo,경성 / 3성,"(조사) 상태 변화, 완료 / 마치다",조사 / 동사
累 lèi,4성,피곤하다,형용사,
冷,lěng,3성,춥다,형용사
离,lí,2성,"떠나다, ~로부터","동사, 전치사"
梨,lí,2성,배,명사
离开,líkāi,-,"떠나다, 벗어나다",동사
礼貌,lǐmào,-,예의(바르다),"명사, 형용사"
礼物,lǐwù,-,선물,명사
厉害,lìhai,-,대단하다,형용사
历史,lìshǐ,-,역사,명사
连,lián,2성,"~조차, ~마저","전치사, 접속사"
联系,liánxì,-,연락하다,"동사, 명사"
脸,liǎn,3성,얼굴,명사
练,liàn,4성,"연습하다, 훈련하다",동사
练习,liànxí,-,연습(하다),"명사, 동사"
凉,liáng,2성,"서늘하다, 차갑다",형용사
凉快,liángkuai,-,시원하다,형용사
辆,liàng,4성,"단위(차량, 자전거 등)",양사
亮,liàng,4성,"밝다, 환하다","형용사, 동사"
聊天,liáotiān,-,"수다 떨다, 한담하다",동사 (이합사)
了解,liǎojiě,-,이해하다,동사
留,liú,2성,"남다, 남기다, 머무르다",동사
流利,liúlì,-,유창하다,형용사
楼,lóu,2성,"건물, 층",명사
路,lù,4성,"길, 도로",명사
录音,lùyīn,-,녹음(하다),"명사, 동사"
乱,luàn,4성,"어지럽다, 제멋대로","형용사, 부사"
旅行,lǚxíng,-,여행하다,"동사, 명사"
旅游,lǚyóu,-,여행하다,"동사, 명사"
绿,lǜ,4성,푸르다,"형용사, 명사"
绿茶,lǜchá,-,녹차,명사
拉,lā,1성,"끌다, 당기다",동사
辣,là,4성,맵다,형용사
来,lái,2성,오다,동사
来不及,láibují,-,"손쓸 틈이 없다, 시간이 맞지 않다",동사
蓝,lán,2성,"남빛(의), 쪽빛이다","형용사, 명사"
篮球,lánqiú,-,농구,명사
老,lǎo,3성,"늙다, 오래된, 늘","형용사, 부사"
老虎,lǎohǔ,-,호랑이,명사
老师,lǎoshī,-,선생님,명사
嘛,ma,경성,"문장 끝에 쓰여 도리, 사실 등이 명백함을 표시함",조사
吗,ma,경성,문장 끝에 쓰여 의문의 어기를 나타냄,조사
妈妈,māma,-,"어머니, 엄마",명사
麻烦,máfan,-,"번거로운, 귀찮다","형용사, 동사, 명사"
马,mǎ,3성,말,명사
马上,mǎshàng,-,"금방, 즉시",부사
买,mǎi,3성,사다,동사
卖,mài,4성,팔다,동사
馒头,mántou,-,(소가 없는) 찐빵,명사
满,mǎn,3성,가득 차다,"형용사, 동사"
满意,mǎnyì,-,만족하다,"형용사, 동사"
慢,màn,4성,느리다,형용사
忙,máng,2성,바쁘다,"형용사, 동사"
猫,māo,1성,고양이,명사
毛,máo,2성,"털, 단위(화폐)","명사, 양사"
帽子,màozi,-,모자,명사
没(有),méi(yǒu),-,"없다, ~않았다","동사, 부사"
每,měi,3성,"매, 마다",대명사
美,měi,3성,아름답다,형용사
美丽,měilì,-,아름답다,형용사
妹妹,mèimei,-,여동생,명사
们,men,경성,~들(복수형),조사
门,mén,2성,문,명사
门口,ménkǒu,-,입구,명사
迷,mí,2성,"헷갈리다, 심취하다, 애호가","동사, 명사"
米,mǐ,3성,"쌀, 미터[단위]","명사, 양사"
米饭,mǐfàn,-,쌀밥,명사
面,miàn,4성,"얼굴, 밀가루, 국수",명사
面包,miànbāo,-,빵,명사
民族,mínzú,-,민족,명사
明白,míngbai,-,"분명하다, 이해하다","형용사, 동사"
明年,míngnián,-,내년,명사
明天,míngtiān,-,내일,명사
名字,míngzi,-,이름,명사
拿,ná,2성,"잡다, ~(으)로(써)","동사, 전치사"
哪,nǎ,3성,어느(것),대명사
哪,na,경성,[啊(a)가 변한 어기조사],조사
哪里 / 哪儿,nǎli / nǎr,-,어디,대명사
那,nà,4성,저(것),대명사
那里 / 那儿,nàli / nàr,-,"거기, 저기",대명사
那么,nàme,-,"그렇게, 그러면","부사, 접속사"
那样,nàyàng,-,그렇게,대명사
奶奶,nǎinai,-,할머니,명사
男,nán,2성,"남성의, 남자","명사, 형용사"
难过,nánguò,-,"지내기 어렵다, 괴롭다","형용사, 동사"
难,nán,2성,어렵다,형용사
呢,ne,경성,~는? (문장 끝에 쓰이는 어기조사),조사
内容,nèiróng,-,내용,명사
能,néng,2성,~할 수 있다,조동사
你,nǐ,3성,너,대명사
年,nián,2성,"년, 해","명사, 양사"
年级,niánjí,-,학년,명사
年纪,niánjì,-,나이,명사
年轻,niánqīng,-,젊다,형용사
念,niàn,4성,"생각하다, 읽다, 공부하다",동사
鸟,niǎo,3성,새,명사
您,nín,2성,당신,대명사
牛,niú,2성,"소, 고집이 세다","명사, 형용사"
牛奶,niúnǎi,-,우유,명사
农村,nóngcūn,-,농촌,명사
弄,nòng,4성,만들다,동사
努力,nǔlì,-,노력하다,"동사, 형용사, 부사"
暖和,nuǎnhuo,-,따뜻하다,형용사
女,nǚ,3성,"여성의, 여자","명사, 형용사"
女儿,nǚ'ér,-,딸,명사
爬,pá,2성,"기다, 기어오르다",동사
怕,pà,4성,"두렵다, ~에 약하다, 아마","동사, 부사"
拍,pāi,1성,"(손바닥으로) 치다, 촬영하다",동사
拍照,pāizhào,-,사진을 찍다,동사 (이합사)
排球,páiqiú,-,배구,명사
旁边,pángbiān,-,"옆, 근처",명사
胖,pàng,4성,뚱뚱하다,형용사
跑,pǎo,3성,"달리다, 도망가다",동사
跑步,pǎobù,-,달리다,동사 (이합사)
泡菜,pàocài,-,절임 채소,명사
朋友,péngyou,-,친구,명사
批评,pīpíng,-,"비평하다, 비판하다","동사, 명사"
便宜,piányi,-,싸다,형용사
票,piào,4성,표,명사
漂亮,piàoliang,-,아름답다,형용사
苹果,píngguǒ,-,사과,명사
乒乓球,pīngpāngqiú,-,탁구,명사
瓶,píng,2성,병,"명사, 양사"
平安,píng'ān,-,평안하다,"형용사, 명사"
破,pò,4성,"망가지다, 깨다","형용사, 동사"
普通话,pǔtōnghuà,-,(현대중국어의) 표준어,명사
骑,qí,2성,"(자전거, 말 등을) 타다",동사
奇怪,qíguài,-,이상하다,형용사
旗袍,qípáo,-,치파오,명사
其实,qíshí,-,"사실은, 실제로",부사
其他,qítā,-,"그 밖, 그 외",대명사
起,qǐ,3성,일어나다,동사
起床,qǐchuáng,-,기상하다,동사 (이합사)
汽车,qìchē,-,자동차,명사
气温,qìwēn,-,기온,명사
铅笔,qiānbǐ,-,연필,명사
钱,qián,2성,돈,명사
前天,qiántiān,-,그저께,명사
墙,qiáng,2성,"벽, 담",명사
轻,qīng,1성,가볍다,형용사
清楚,qīngchu,-,"분명하다, 이해하다","형용사, 동사"
晴,qíng,2성,맑다,형용사
情况,qíngkuàng,-,상황,명사
请,qǐng,3성,청하다,동사
请假,qǐngjià,-,휴가를 내다,동사 (이합사)
请客,qǐngkè,-,한턱내다,동사 (이합사)
请问,qǐngwèn,-,말 좀 물어볼게요,동사
球,qiú,2성,공,명사
取,qǔ,3성,"취하다, 얻다",동사
去,qù,4성,가다,동사
去年,qùnián,-,작년,명사
全部,quánbù,-,전부,"명사, 부사"
劝,quàn,4성,"권하다, 설득하다",동사
裙子,qúnzi,-,치마,명사
然后,ránhòu,-,그러한 후에,접속사
让,ràng,4성,"~하도록 시키다, ~에게 …당하다","동사, 전치사"
热,rè,4성,"덥다, 뜨겁다, 인기 있다, 유행","형용사, 명사"
热情,rèqíng,-,"열정, 친절하다","명사, 형용사"
人,rén,2성,사람,명사
人口,rénkǒu,-,인구,명사
人民币,rénmínbì,-,인민폐,명사
认识,rènshi,-,알다,"동사, 명사"
认为,rènwéi,-,"여기다, 생각하다",동사
认真,rènzhēn,-,"진지하다, 성실하다","형용사, 부사"
日,rì,4성,"일(날), 하루, 해, 낮",명사
容易,róngyì,-,쉽다,형용사
肉,ròu,4성,고기,명사
如果,rúguǒ,-,만약,접속사
伞,sǎn,3성,우산,명사
散,sàn / sǎn,4성 / 3성,"흩어지다, 뿌리다 / 느슨해지다, 흩어지다",동사 / 형용사
散步,sànbù,-,산책하다,동사 (이합사)
色,sè,4성,색(깔),명사
晒,shài,4성,"햇볕이 내리쬐다, 햇볕을 쬐다",동사
山,shān,1성,산,명사
商店,shāngdiàn,-,상점,명사
上,shàng,4성,"위, 가다, 오르다","명사, 동사"
上课,shàngkè,-,수업하다,동사 (이합사)
上网,shàngwǎng,-,인터넷에 접속하다,동사 (이합사)
上午,shàngwǔ,-,오전,명사
上学,shàngxué,-,등교하다,동사 (이합사)
烧,shāo,1성,"태우다, 볶다, 열","동사, 명사"
稍,shāo,1성,"조금, 약간",부사
少,shǎo,3성,"적다, 어리다",형용사
社会,shèhuì,-,사회,명사
深,shēn,1성,"깊다, 짙다",형용사
身体,shēntǐ,-,"신체, 몸",명사
什么,shénme,-,무엇,대명사
声,shēng,1성,"소리, 단위(마디, 번)","명사, 양사"
生词,shēngcí,-,새 단어,명사
生活,shēnghuó,-,생활(하다),"명사, 동사"
生气,shēngqì,-,"생기, 활력, 화내다","명사, 동사 (이합사)"
生日,shēngrì,-,생일,명사
